"rank","name","followers","engagement_rate","country","topic_of_influence","potential_reach"
5,MrBeast,100000000,"2.4",United States,Celebrity Pets,30000000
72,Daddy Yankee,37000000,"0",United States,Music,11100000
10,Vlad and Niki,84300000,"0",United States,Marketing and Advertising Music,25300000
4,PewDiePie,111000000,"0.1",United States,Unknown,33300000
22,Dude Perfect,58600000,"0",United States,Unknown,17600000
23,Movieclips,58500000,"0",United States,Unknown,17600000
26,Marshmello,55800000,"0",United States,Unknown,16700000
58,Little Baby Bum ,40000000,"0",United States,Unknown,12000000
64,TheEllenShow,38300000,"0",United States,Unknown,11500000
65,Toys and Colors,38300000,"0",United States,Unknown,11500000
35,LooLoo Kids ,49400000,"0",United States,Unknown,14800000
48,Katy Perry,43100000,"0",United States,Unknown,12900000
68,XXXTENTACION,37800000,"0.1",United States,Unknown,11300000
2,Cocomelon ,144000000,"0",United States,Unknown,43200000
6,Like Nastya,97300000,"0",United States,Unknown,29200000
89,Markiplier,33500000,"0.4",United States,Unknown,10100000
52,Like Nastya Show,41700000,"0",United States,Unknown,12500000
40,Billie Eilish,46600000,"0.7",United States,Unknown,14000000
79,YouTube.com,35100000,"0",United States,Unknown,10500000
80,Masha and The Bear,35100000,"0",United States,Unknown,10500000
